OBJECTID,JURSCODE,COUNTY,COUNTYNAME,VTD,LABEL,NAME,AGG_SRC,DATE_AGGREGATED,GIS_SRC,SRC_DATE,Shape_Length,Shape_Area
6033,ALLE,24001,Allegany ,2400129-002,29-002,Allegany  Precinct 29-002,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,16837.8082102075,11642778.8307692
6034,ALLE,24001,Allegany ,2400106-006,06-006,Allegany  Precinct 06-006,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,20732.3691863616,14821783.7471749
6035,ALLE,24001,Allegany ,2400129-001,29-001,Allegany  Precinct 29-001,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,34451.9032215437,34809746.4778717
6036,ALLE,24001,Allegany ,2400120-000,20-000,Allegany  Precinct 20-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,35978.8284882151,48797076.7693687
6037,ALLE,24001,Allegany ,2400114-000,14-000,Allegany  Precinct 14-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,7053.22502735576,1158874.41925538
6038,ALLE,24001,Allegany ,2400104-004,04-004,Allegany  Precinct 04-004,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,8997.3327574137,2812265.44346316
6039,ALLE,24001,Allegany ,2400123-000,23-000,Allegany  Precinct 23-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,15399.0768165367,7418785.12492177
6040,ALLE,24001,Allegany ,2400134-000,34-000,Allegany  Precinct 34-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,31314.2641342509,32160324.4835956
6041,ALLE,24001,Allegany ,2400121-000,21-000,Allegany  Precinct 21-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,57354.9623641211,122174464.023712
6042,ALLE,24001,Allegany ,2400102-000,02-000,Allegany  Precinct 02-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,96859.692619918,273019453.102778
6043,ALLE,24001,Allegany ,2400103-000,03-000,Allegany  Precinct 03-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,86855.3460760523,294893547.992085
6044,ALLE,24001,Allegany ,2400101-000,01-000,Allegany  Precinct 01-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,96048.1058243093,209467668.80311
6045,ALLE,24001,Allegany ,2400108-000,08-000,Allegany  Precinct 08-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,57289.2456261993,81666580.9374448
6046,ALLE,24001,Allegany ,2400109-000,09-000,Allegany  Precinct 09-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,31829.7377357271,54013564.7111217
6047,ALLE,24001,Allegany ,2400110-000,10-000,Allegany  Precinct 10-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,36287.0952408086,60221915.0105272
6048,ALLE,24001,Allegany ,2400131-000,31-000,Allegany  Precinct 31-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,58959.0707733362,100350119.320056
6049,ALLE,24001,Allegany ,2400118-000,18-000,Allegany  Precinct 18-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,48616.5811686509,68969153.5865118
6050,ALLE,24001,Allegany ,2400126-000,26-000,Allegany  Precinct 26-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,17641.98339899,19055956.7443483
6051,ALLE,24001,Allegany ,2400111-000,11-000,Allegany  Precinct 11-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,15041.0231153093,8474347.12492423
6052,ALLE,24001,Allegany ,2400112-000,12-000,Allegany  Precinct 12-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,18281.5244652807,11845492.7423655
6053,ALLE,24001,Allegany ,2400124-000,24-000,Allegany  Precinct 24-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,35960.2420834989,59550201.9508503
6054,ALLE,24001,Allegany ,2400107-002,07-002,Allegany  Precinct 07-002,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,26948.0213696344,21460678.7181788
6055,ALLE,24001,Allegany ,2400129-003,29-003,Allegany  Precinct 29-003,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,28788.4386697325,28018931.8271121
6056,ALLE,24001,Allegany ,2400113-000,13-000,Allegany  Precinct 13-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,41906.7414060445,85471063.090606
6057,ALLE,24001,Allegany ,2400107-001,07-001,Allegany  Precinct 07-001,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,24085.7345054272,16293685.7490141
6058,ALLE,24001,Allegany ,2400122-000,22-000,Allegany  Precinct 22-000,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,22051.6943993343,22717209.175057
6059,ALLE,24001,Allegany ,2400116-001,16-001,Allegany  Precinct 16-001,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,65608.8262282033,134980055.450544
6060,ALLE,24001,Allegany ,2400116-002,16-002,Allegany  Precinct 16-002,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,9546.80036597734,2692146.8013994
6061,ALLE,24001,Allegany ,2400106-005,06-005,Allegany  Precinct 06-005,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,15572.8512917376,4167350.60480127
6062,ALLE,24001,Allegany ,2400106-003,06-003,Allegany  Precinct 06-003,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,8847.41027675021,2553719.0999363
6063,ALLE,24001,Allegany ,2400104-005,04-005,Allegany  Precinct 04-005,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,13874.6154797175,5699559.12880289
6064,ALLE,24001,Allegany ,2400104-003,04-003,Allegany  Precinct 04-003,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,5059.36311597615,1041604.30412162
6065,ALLE,24001,Allegany ,2400104-002,04-002,Allegany  Precinct 04-002,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,7153.75085260305,1675592.56542751
6066,ALLE,24001,Allegany ,2400104-008,04-008,Allegany  Precinct 04-008,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,9196.15681696012,2443088.58986682
6067,ALLE,24001,Allegany ,2400105-004,05-004,Allegany  Precinct 05-004,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,13447.3166894215,5161825.18685112
6068,ALLE,24001,Allegany ,2400105-006,05-006,Allegany  Precinct 05-006,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,27367.3662748413,22803093.1746203
6069,ALLE,24001,Allegany ,2400106-001,06-001,Allegany  Precinct 06-001,MDP_Precincts_2022,20230511,Election Precincts 220412.shp,20220000,11169.0602119798,4626046.48363487
6070,ANNE,24003,Anne Arundel,2400305-016,05-016,Anne Arundel Precinct 05-016,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,9281.72295493764,3377625.02989385
6071,ANNE,24003,Anne Arundel,2400305-017,05-017,Anne Arundel Precinct 05-017,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,12521.512153532,4998118.80829762
6072,ANNE,24003,Anne Arundel,2400305-018,05-018,Anne Arundel Precinct 05-018,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,11149.5510599954,5537696.81001129
6073,ANNE,24003,Anne Arundel,2400305-019,05-019,Anne Arundel Precinct 05-019,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,18815.8637147435,9047766.0168277
6074,ANNE,24003,Anne Arundel,2400305-020,05-020,Anne Arundel Precinct 05-020,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,20692.0287378799,22225668.0285936
6075,ANNE,24003,Anne Arundel,2400305-021,05-021,Anne Arundel Precinct 05-021,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,10029.1489623106,4494014.75208849
6076,ANNE,24003,Anne Arundel,2400305-022,05-022,Anne Arundel Precinct 05-022,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,27764.6352404987,30364035.7735348
6077,ANNE,24003,Anne Arundel,2400305-023,05-023,Anne Arundel Precinct 05-023,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,21552.508487201,15393387.745905
6078,ANNE,24003,Anne Arundel,2400305-024,05-024,Anne Arundel Precinct 05-024,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,12265.4066356742,6382700.66028809
6079,ANNE,24003,Anne Arundel,2400305-025,05-025,Anne Arundel Precinct 05-025,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,7195.82348237773,2032065.6008505
6080,ANNE,24003,Anne Arundel,2400305-026,05-026,Anne Arundel Precinct 05-026,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,10674.9614192423,7367673.26569878
6081,ANNE,24003,Anne Arundel,2400305-027,05-027,Anne Arundel Precinct 05-027,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,9097.84266117087,3075163.48949712
6082,ANNE,24003,Anne Arundel,2400305-028,05-028,Anne Arundel Precinct 05-028,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,10200.0202028269,4569963.11282011
6083,ANNE,24003,Anne Arundel,2400305-029,05-029,Anne Arundel Precinct 05-029,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,14585.9246392535,7440601.42236791
6084,ANNE,24003,Anne Arundel,2400305-030,05-030,Anne Arundel Precinct 05-030,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,13051.3321502995,4817192.53567825
6085,ANNE,24003,Anne Arundel,2400305-031,05-031,Anne Arundel Precinct 05-031,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,6775.4087245399,2377418.58079312
6086,ANNE,24003,Anne Arundel,2400305-032,05-032,Anne Arundel Precinct 05-032,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,4671.0596807105,637940.02856378
6087,ANNE,24003,Anne Arundel,2400305-033,05-033,Anne Arundel Precinct 05-033,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,11988.8261656943,5472006.71308287
6088,ANNE,24003,Anne Arundel,2400305-034,05-034,Anne Arundel Precinct 05-034,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,6626.66004939942,2025542.90981962
6089,ANNE,24003,Anne Arundel,2400305-035,05-035,Anne Arundel Precinct 05-035,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,7115.89857592404,1257537.63226725
6090,ANNE,24003,Anne Arundel,2400305-036,05-036,Anne Arundel Precinct 05-036,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,14737.6648675792,10876882.4962173
6091,ANNE,24003,Anne Arundel,2400305-037,05-037,Anne Arundel Precinct 05-037,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,5375.8731816902,364464.11867927
6092,ANNE,24003,Anne Arundel,2400306-001,06-001,Anne Arundel Precinct 06-001,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,12922.1431860768,5754332.54814484
6093,ANNE,24003,Anne Arundel,2400306-002,06-002,Anne Arundel Precinct 06-002,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,9773.13030950276,2724133.34189299
6094,ANNE,24003,Anne Arundel,2400306-003,06-003,Anne Arundel Precinct 06-003,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,7973.70402671265,2140763.70019838
6095,ANNE,24003,Anne Arundel,2400306-004,06-004,Anne Arundel Precinct 06-004,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,11214.3243011215,2083191.57562668
6096,ANNE,24003,Anne Arundel,2400306-005,06-005,Anne Arundel Precinct 06-005,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,8196.85651367613,1729450.96304473
6097,ANNE,24003,Anne Arundel,2400306-006,06-006,Anne Arundel Precinct 06-006,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,7998.21387956466,1200838.66073831
6098,ANNE,24003,Anne Arundel,2400306-007,06-007,Anne Arundel Precinct 06-007,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,24102.5654143814,4562889.25578763
6099,ANNE,24003,Anne Arundel,2400306-008,06-008,Anne Arundel Precinct 06-008,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,9629.96084383447,1891116.7296808
6100,ANNE,24003,Anne Arundel,2400306-009,06-009,Anne Arundel Precinct 06-009,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,29095.9552537597,17777465.1758822
6101,ANNE,24003,Anne Arundel,2400306-010,06-010,Anne Arundel Precinct 06-010,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,23194.9573418646,7944883.33505176
6102,ANNE,24003,Anne Arundel,2400306-011,06-011,Anne Arundel Precinct 06-011,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,20052.9776488314,18498674.3465682
6103,ANNE,24003,Anne Arundel,2400306-012,06-012,Anne Arundel Precinct 06-012,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,12727.0610316366,6087500.59183219
6104,ANNE,24003,Anne Arundel,2400306-013,06-013,Anne Arundel Precinct 06-013,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,11216.0862139386,2569413.05858581
6105,ANNE,24003,Anne Arundel,2400306-014,06-014,Anne Arundel Precinct 06-014,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,9494.62779958643,1927382.44711036
6106,ANNE,24003,Anne Arundel,2400306-015,06-015,Anne Arundel Precinct 06-015,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,6724.15330262139,1786408.06555776
6107,ANNE,24003,Anne Arundel,2400306-016,06-016,Anne Arundel Precinct 06-016,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,4871.82082872211,1012278.48386777
6108,ANNE,24003,Anne Arundel,2400306-017,06-017,Anne Arundel Precinct 06-017,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,19951.3893174982,13815171.1369999
6109,ANNE,24003,Anne Arundel,2400306-018,06-018,Anne Arundel Precinct 06-018,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,9160.17992128219,3225658.93044211
6110,ANNE,24003,Anne Arundel,2400306-019,06-019,Anne Arundel Precinct 06-019,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,23205.0250556626,20824189.7196561
6111,ANNE,24003,Anne Arundel,2400306-020,06-020,Anne Arundel Precinct 06-020,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,8601.00402685871,3502193.00209817
6112,ANNE,24003,Anne Arundel,2400306-021,06-021,Anne Arundel Precinct 06-021,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,14002.8343700426,8845914.63594589
6113,ANNE,24003,Anne Arundel,2400306-022,06-022,Anne Arundel Precinct 06-022,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,8982.4356493698,3647352.3412155
6114,ANNE,24003,Anne Arundel,2400306-023,06-023,Anne Arundel Precinct 06-023,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,12310.0011686836,4295455.18779607
6115,ANNE,24003,Anne Arundel,2400306-024,06-024,Anne Arundel Precinct 06-024,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,13852.0320137964,10387246.1339874
6116,ANNE,24003,Anne Arundel,2400306-025,06-025,Anne Arundel Precinct 06-025,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,11369.5397820086,6265869.15522219
6117,ANNE,24003,Anne Arundel,2400306-026,06-026,Anne Arundel Precinct 06-026,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,26881.5684595674,15563972.2687373
6118,ANNE,24003,Anne Arundel,2400306-027,06-027,Anne Arundel Precinct 06-027,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,21353.5030909988,16867868.4026247
6119,ANNE,24003,Anne Arundel,2400306-028,06-028,Anne Arundel Precinct 06-028,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,35540.0931317224,33732729.2897873
6120,ANNE,24003,Anne Arundel,2400306-029,06-029,Anne Arundel Precinct 06-029,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,15967.5537723091,8733425.06150406
6121,ANNE,24003,Anne Arundel,2400306-030,06-030,Anne Arundel Precinct 06-030,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,18088.2311595891,5480970.07944117
6122,ANNE,24003,Anne Arundel,2400306-031,06-031,Anne Arundel Precinct 06-031,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,17537.9260289057,16338261.5288427
6123,ANNE,24003,Anne Arundel,2400306-032,06-032,Anne Arundel Precinct 06-032,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,19225.6718752841,12084457.61016
6124,ANNE,24003,Anne Arundel,2400306-033,06-033,Anne Arundel Precinct 06-033,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,12302.7295210593,7183985.63453427
6125,ANNE,24003,Anne Arundel,2400306-034,06-034,Anne Arundel Precinct 06-034,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,11348.4994947035,3864106.70656014
6126,ANNE,24003,Anne Arundel,2400306-035,06-035,Anne Arundel Precinct 06-035,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,916.626600653752,43281.4815762997
6127,ANNE,24003,Anne Arundel,2400307-002,07-002,Anne Arundel Precinct 07-002,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,19443.4307312655,14388308.4866224
6128,ANNE,24003,Anne Arundel,2400307-003,07-003,Anne Arundel Precinct 07-003,MDP_Precincts_2022,20230511,Voter_Precincts.shp,20220000,24330.5316693674,23110686.3677441
