Precinct Name,Voting District,Type,One Race,White,Black,Native American,Asian,Pacific Islander,Other,Two or more,Hispanic/Latino,18+,,,
Allegany Precinct 01-000,01-000,Unadj,782,775,4,0,1,2,0,29,9,678,,, 
Allegany Precinct 02-000,02-000,Unadj,965,956,7,1,0,1,0,27,4,844,,,
Allegany Precinct 03-000,03-000,Unadj,"1,009",994,7,0,3,1,4,33,0,843,,,
Allegany Precinct 04-002,04-002,Adj,"1,243","1,104",128,4,4,0,3,102,28,"1,018",,,
Allegany Precinct 04-003,04-003,Adj,"1,592","1,458",114,9,9,0,2,167,33,"1,345",,,
Allegany Precinct 04-004,04-004,Adj,"1,778","1,685",69,4,8,0,12,84,28,"1,567",,,
Allegany Precinct 04-005,04-005,Adj,"1,008",952,38,2,3,0,13,89,10,885,,,
Allegany Precinct 04-008,04-008,Adj,"1,944","1,825",98,5,13,0,3,120,29,"1,637",,,
Allegany Precinct 05-004,05-004,Adj,"1,623","1,497",98,0,9,0,19,77,39,"1,381",,,
Allegany Precinct 05-006,05-006,Adj,741,727,9,1,3,0,1,27,12,636,,,
Allegany Precinct 06-001,06-001,Adj,"1,645","1,494",114,3,27,0,7,83,32,"1,429",,,
Allegany Precinct 06-003,06-003,Unadj,842,779,50,1,11,0,1,66,21,750,,,
Allegany Precinct 06-005,06-005,Adj,"1,300","1,187",40,2,63,2,6,45,18,"1,139",,,
Allegany Precinct 06-006,06-006,Unadj,"1,744","1,683",44,0,9,1,7,99,32,"1,502",,,
Allegany Precinct 06-099,06-099,Unadj,0,0,0,0,0,0,0,0,0,0,,,
Allegany Precinct 07-001,07-001,Adj,"2,550","2,037",508,7,20,-1,-21,88,73,"2,312",,,
Allegany Precinct 07-002,07-002,Adj,"2,050","1,969",20,0,55,0,6,83,15,"1,702",,,
Allegany Precinct 08-000,08-000,Adj,"3,118","3,086",18,3,8,0,3,74,45,"2,585",,,
Allegany Precinct 09-000,09-000,Adj,"1,232","1,229",3,0,0,0,0,14,5,"1,000",,,
Allegany Precinct 10-000,10-000,Adj,"1,808","1,795",7,4,0,0,2,48,15,"1,481",,,
Allegany Precinct 11-000,11-000,Adj,"1,101","1,045",19,2,31,4,0,26,13,918,,,
Allegany Precinct 12-000,12-000,Adj,"2,813","2,642",91,7,60,0,13,143,33,"2,431",,,
Allegany Precinct 13-000,13-000,Adj,"2,012","1,993",15,0,4,0,0,63,9,"1,697",,,
Allegany Precinct 14-000,14-000,Adj,699,612,69,3,11,0,4,43,27,675,,,
