COUNTY,DEM,REP,NLM,LIB,GRN,UNAF,OTH,TOTAL,INACTIVEMAILINGCONF,
Allegany,10849,23052,62,272,54,8862,507,"43,658",0,3840
Anne Arundel,173216,129562,678,2538,455,105506,3782,"415,737",0,39679
Baltimore City,299106,29102,622,1263,701,63933,5084,"399,811",0,27158
Baltimore CO.,308041,139338,835,2710,675,119734,7042,"578,375",1,35333
Calvert,23522,28461,94,460,67,16572,644,"69,820",0,6112
Caroline ,5994,10891,40,129,25,4927,227,"22,233",0,1595
Carroll,33301,64209,136,845,132,30503,1199,"130,325",0,7925
Cecil,19053,35255,127,485,72,17316,818,"73,126",1,5558
Charles,75729,23318,155,454,103,25042,1099,"125,900",0,10806
Dorchester,9574,9482,33,112,15,4334,250,"23,800",0,1106
Frederick,78789,68925,266,1270,224,54268,1503,"205,245",0,16046
Garrett,3475,13859,22,111,20,3061,186,"20,734",0,1485
Harford ,64575,81530,277,1295,158,45260,2053,"195,148",0,14304
Howard ,123368,48580,344,976,244,63155,2205,"238,872",1,15679
Kent,5721,5393,20,73,16,2817,128,"14,168",0,875
Montgomery,406004,98743,992,2486,783,173554,6179,"688,741",0,75072
Pr. Georges,456887,39974,956,1645,612,100970,11697,"612,741",0,43727
Queen Anne's,11246,20442,52,238,40,8965,332,"41,315",0,2029
St. Mary's,24788,32618,95,513,64,18129,747,"76,954",0,8629
Somerset,5365,6256,18,76,16,2558,154,"14,443",0,608
Talbot,10562,11652,37,175,24,6022,243,"28,715",0,2082
Washington,30648,44628,135,661,128,24107,1011,"101,318",0,12587
Wicomico,25950,24234,115,389,63,15090,812,"66,653",0,5432
Worcester,13654,19819,55,247,41,9242,513,"43,571",0,3308
Total,"2,219,417","1,009,323","6,166","19,423","4,732","923,927","48,415","4,231,403",3,"340,975"
