zip,donations,total,population
20601,265.89419118768103,190404.72999999975,26236
20602,251.8352897335569,109716.81999999996,26835
20603,392.7763857483347,248108.6100000006,32726
20604,NA,8033.67,NA
20606,35.031847133757964,131.43,314
20607,640.5392840539284,181393.81000000043,10755
20608,456.02165087956695,2569.720000000003,739
20609,50.371593724194874,2290,1211
20610,NA,1669.1999999999998,NA
20611,33.97341211225997,1206,1354
20612,116.02209944751381,399.17,181
20613,486.10271903323263,170352.85000000012,13240
20614,NA,409,NA
20615,48.732943469785575,633,513
20616,253.12128418549347,38740.899999999994,6728
20617,383.2167832167832,7542.26,715
20618,778.6069651741293,6069.32,402
20619,197.39978331527627,63659.01000000006,13845
20620,232.81990521327015,7357.65,1688
20621,51.68363351605325,967,1277
20622,53.19784817692767,8922.109999999999,6692
20623,792.287132493318,33616.96000000001,2619
20624,48.309178743961354,795,1242
20625,488.69752421959095,9224.020000000004,929
20626,863.3093525179855,3636.8600000000006,278
20627,NA,40,NA
20628,95.13274336283186,12163.26,452
20629,70.47619047619047,813,525
20630,1932.2916666666667,24333.75,192
20632,66.87898089171975,2812.5,314
20634,157.30498491596035,27256.079999999944,6961
20635,NA,1176,NA
20636,205.0464807436919,58391.37,11295
20637,393.91074130105903,40167.06999999999,5288
20638,NA,729.74,NA
20639,217.73133543638275,119571.28999999998,15216
20640,141.18599838027535,24599.82999999998,11113
20644,NA,659,NA
20645,304.7473200612558,10778.3,653
20646,246.46858256210425,130374.95000000004,22583
20647,NA,39.8,NA
20649,NA,330,NA
20650,281.7542113867368,144375.84000000023,14069
20653,138.17401960784315,81705.0799999999,26112
20656,NA,1569.76,NA
20657,257.0645832276394,125720.03000000009,19711
20658,335.6643356643357,10475.370000000004,858
20659,89.49196699956579,66697.38,23030
20660,Inf,190,0
20662,135.44792113159025,3207.0199999999995,2333
20663,NA,135,NA
20664,68.4931506849315,19794.23,3285
20667,42.62672811059908,1525.39,868
20669,NA,20,NA
20670,61.72839506172839,2542.67,1620
20674,328.09611829944544,9889.67,1082
20675,159.44645006016847,13192.1,1662
20676,1113.191958138254,51759.59,3631
20677,300.67720090293454,19220.51,2215
20678,191.65727170236755,49224.85999999996,12418
20679,NA,250,NA
20680,134.05238828967643,6197.360000000001,649
20682,NA,153,NA
20683,NA,280,NA
20684,114.79591836734694,3067.24,784
20685,359.7742127153892,44961.41000000005,6732
20686,473.4594264795607,26377.35,1639
20687,186.4801864801865,2937.49,429
20688,1982.0051413881747,84676.29000000008,1945
20689,84.24140821458508,18325.74,2386
20690,733.6842105263158,10894.629999999992,950
20691,NA,84,NA
20692,235.38011695906434,5585.110000000001,684
20693,192.99743808710505,5676.370000000001,1171
20694,NA,28,NA
20695,524.6428571428572,98344.96999999994,8400
20696,NA,189.92,NA
20697,NA,89,NA
20698,NA,205.5,NA
20701,167.10526315789474,5610.76,760
20702,NA,42,NA
20703,NA,2404.51,NA
20704,NA,1503.76,NA
20705,315.6836461126005,263127.96999999945,28348
20706,271.6362593483201,314519.8699999994,45329
20707,520.7245836440467,392772.42999999854,32184
20708,265.8147679010506,155413.97000000026,26842
20709,NA,826,NA
20710,68.01645049035116,28141.24,9483
20711,212.43243243243242,67949.20999999996,7400
20712,450.4093688465126,127500.21000000004,9649
20713,NA,307,NA
20714,395.42299756143314,41288.52999999997,5331
20715,644.7733918128655,314771.77000000153,27360
20716,448.90428834990774,277360.8199999999,22223
20717,NA,1502.75,NA
20718,NA,5407.000000000001,NA
20719,NA,385,NA
20720,731.3913117114066,545108.1899999978,23618
20721,904.5848411407324,1016134.5099999992,30121
20722,881.1563169164882,57960.55000000015,5604
20723,342.6362175045729,402577.18000000034,36082
20724,354.957298795317,110552.95999999986,17681
20725,NA,5023.42,NA
20726,NA,948,NA
20727,NA,13,NA
20729,NA,70.17,NA
20730,NA,25,NA
20731,NA,653,NA
20732,404.46818844099073,104842.46,10295
20733,722.117202268431,50651.11,2645
20734,NA,578,NA
20735,413.629117241752,316990.6299999999,37009
20736,347.6764199655766,72934.04000000002,8715
20737,163.50480896496956,102120.56000000011,22666
20738,NA,964,NA
20739,NA,160,NA
20740,396.7783627021404,317914.8899999996,31723
20741,NA,40967.22999999998,NA
20742,8.600829365688835,12867.61,6511
20743,176.8394972514001,165297.1299999999,38747
20744,577.1641134647805,615052.9699999988,54572
20745,463.73122932043776,230824.93999999977,27503
20746,212.60797090468253,110835.93000000008,26396
20747,224.2511184594437,156460.6300000003,41128
20748,312.21590909090907,230580.97000000085,38720
20749,NA,2894.23,NA
20750,NA,10758.440000000002,NA
20751,478.19472616632856,30918.42999999999,1972
20752,NA,1026,NA
20753,NA,2130,NA
20754,259.8561151079137,52836.890000000014,6950
20755,63.31569664902999,13748.61,11340
20757,NA,2539.17,NA
20758,347.73662551440333,6653.169999999999,486
20759,847.9135776318577,216717.4500000003,4721
20762,48.25090470446321,2821.08,3316
20763,545.7800511508951,16640.289999999997,1955
20764,457.4956921309592,58113.28999999995,3482
20765,709.4339622641509,18800.06,530
20768,NA,4025.74,NA
20769,1208.198314970836,183612.53000000017,6172
20770,693.967970083733,470197.8199999965,24602
20771,NA,223,NA
20772,528.3940522046007,701566.209999997,46471
20773,NA,13695.669999999998,NA
20774,563.708497805919,790564.2600000018,49907
20775,NA,8819.52,NA
20776,457.1428571428571,43335.319999999985,2940
20777,786.0046457607434,111532.35999999994,3444
20778,583.739837398374,39547.169999999984,2460
20779,718.6192468619247,29339.599999999988,956
20781,510.7329842931937,231033.8899999996,11460
20782,395.45608263903836,595571.0799999984,32527
20783,125.57628979143797,339753.4999999998,45550
20784,189.23011092459103,90245.51000000014,30381
20785,290.87341030150117,374647.23999999976,39237
20786,NA,2143.299999999999,NA
20787,NA,339,NA
20788,NA,20,NA
20790,NA,1760,NA
20791,NA,2046.19,NA
20792,NA,9272.24,NA
20794,170.44114177872137,65081.25000000002,16956
20795,NA,1970,NA
20796,NA,102,NA
20797,NA,28,NA
20798,NA,89,NA
20801,NA,1104,NA
20802,NA,1088.26,NA
20803,NA,140,NA
20804,NA,607,NA
20805,NA,6799.7,NA
20806,NA,436,NA
20807,NA,121,NA
20810,NA,2173,NA
20812,1287.9256965944273,82029.63,323
20813,NA,280,NA
20814,1834.7057235421166,3840965.980000051,29632
20815,2511.8739484923,9090681.019999975,30908
20816,2104.97569173519,3206491.790000002,16661
20817,1714.0122210275103,5935171.610000005,38131
20818,1918.918918918919,339569.6300000002,2072
20820,NA,20,NA
20822,NA,5,NA
20823,NA,50,NA
20824,NA,28802.58,NA
20825,NA,11115.52,NA
20826,NA,1062,NA
20827,NA,12166.57,NA
20828,NA,12,NA
20830,NA,1310,NA
20832,615.3301608526369,505974.4099999999,25427
20833,590.2401239349342,170021.89000000042,7746
20834,NA,915,NA
20835,NA,413,NA
20836,NA,871.25,NA
20837,764.2356012400065,155442.2500000004,6129
20838,1188.3289124668436,18843.38,377
20839,3323.741007194245,11704.82,139
20840,NA,105,NA
20841,342.9695518303113,161266.3100000001,11692
20842,666.6666666666666,55610.649999999994,1467
20844,NA,1252.5,NA
20845,NA,100,NA
20847,NA,529,NA
20848,NA,757.49,NA
20849,NA,4026.31,NA
20850,846.175404506558,1625183.4800000193,53522
20851,346.44259246504583,158464.17000000016,14519
20852,1020.4698128353542,1984718.029999996,47338
20853,631.8946366232941,556389.1599999968,31510
20854,1121.026099682901,4750407.0800000075,49196
20855,665.6220620495143,442482.6699999997,15955
20856,NA,782,NA
20858,NA,92,NA
20859,NA,43985.94,NA
20860,1435.2941176470588,138927.70000000022,2890
20861,1354.3424317617867,124085.48999999998,2015
20862,724.233983286908,16786.32,359
20864,NA,1064,NA
20865,NA,1886,NA
20866,364.08624955814776,175550.99000000046,16974
20867,NA,1045,NA
20868,836.7346938775511,11939.11,539
20869,NA,305,NA
20870,NA,450,NA
20871,453.45709614471815,204083.8700000006,18961
20872,570.9147771696638,125311.22000000012,12790
20873,NA,225,NA
20874,371.4195625477115,527915.7199999968,60258
20875,NA,7279.070000000001,NA
20876,304.7030249503201,214333.43000000037,31703
20877,402.8143775693054,371444.01,37948
20878,646.4074493519568,1313016.679999994,63576
20879,381.6573662832631,219295.58000000264,26343
20880,2558.490566037736,52557.24000000001,530
20882,599.0582369641992,261341.96000000025,14441
20883,NA,50776.7,NA
20884,NA,388,NA
20885,NA,2054.08,NA
20886,464.55699830882565,362243.20999999874,34887
20887,NA,455,NA
20889,NA,28,NA
20892,NA,500,NA
20893,NA,539,NA
20894,NA,230,NA
20895,1399.7358689910195,1347975.3600000064,18930
20896,2477.272727272727,161566.2600000002,792
20897,NA,58,NA
20898,NA,481.23,NA
20899,105.63380281690141,3050,284
20901,1168.1158632683007,1309525.8700000062,36802
20902,566.3292387018502,1073108.0000000023,52752
20903,244.40651552818076,250580.09999999992,26951
20904,739.8309939845317,1477418.6700000064,55856
20905,684.9381387842926,509001.05000000366,18590
20906,767.9476441277096,1138991.140000007,70441
20907,NA,4264.09,NA
20908,NA,583,NA
20910,1388.3692743945667,2979373.470000009,43729
20911,NA,1824.23,NA
20912,1543.8331077315072,1936275.090000004,25118
20913,NA,55972.77,NA
20914,NA,7685.58,NA
20915,NA,3230,NA
20916,NA,5998.530000000001,NA
20917,NA,1278.11,NA
20918,NA,326,NA
20919,NA,22,NA
20920,NA,1202.4000000000003,NA
20922,NA,250,NA
20923,NA,527.75,NA
20925,NA,150,NA
20932,NA,172,NA
20939,NA,152,NA
20941,NA,25,NA
20950,NA,5786.439999999999,NA
20952,NA,148,NA
20953,NA,5330.93,NA
20954,NA,1389.7999999999993,NA
20960,NA,215,NA
20966,NA,10,NA
20971,NA,101.17,NA
20972,NA,69.96,NA
20974,NA,2103,NA
20976,NA,10,NA
20977,NA,100,NA
20978,NA,547.8199999999999,NA
20979,NA,17,NA
20984,NA,10,NA
20985,NA,105,NA
20986,NA,98,NA
20991,NA,1591.3000000000002,NA
20992,NA,642,NA
20993,NA,100,NA
20994,NA,895,NA
20995,NA,287.20000000000005,NA
20996,NA,991.72,NA
20997,NA,30,NA
21001,368.00352578228296,126335.17999999996,24959
21002,NA,79,NA
21005,555.4331864904552,7449.8,2724
21006,NA,50,NA
21008,NA,185,NA
21009,174.79405359340973,94785.23000000004,31683
21010,3635.2583586626142,18019.26,329
21012,498.72505055833994,448162.7999999995,22746
21013,350.7853403141361,42460.45999999997,5157
21014,268.33576314904116,216782.57000000024,35668
21015,275.030198446937,198034.8099999996,28975
21016,NA,163.71999999999997,NA
21017,188.7636725223732,18434.4,6034
21018,NA,25,NA
21019,NA,675,NA
21020,NA,527,NA
