zip,donations,total,population
20601,54.31468211617624,35154.4,26236
20602,33.42649524874231,22974.03999999998,26835
20603,44.276721872517264,54640.36000000012,32726
20604,NA,1159.21,NA
20606,66.87898089171975,293.59999999999997,314
20607,53.74244537424454,12869.199999999992,10755
20608,35.182679296346414,960.7,739
20609,39.63666391412056,2305.4399999999996,1211
20610,NA,2338.0399999999995,NA
20611,25.849335302806498,826.2,1354
20612,806.6298342541437,717.07,181
20613,93.80664652567975,21712.14999999992,13240
20615,304.093567251462,2400.2400000000016,513
20616,43.40071343638525,6938.1399999999985,6728
20617,170.62937062937064,2581.13,715
20618,276.11940298507466,3086.189999999999,402
20619,95.41350668111231,50741.130000000056,13845
20620,96.56398104265402,5863.94,1688
20621,30.540328895849647,1845.489999999999,1277
20622,57.232516437537356,17405.309999999994,6692
20623,39.32798778159603,2147.4399999999996,2619
20624,14.492753623188406,727.2300000000001,1242
20625,27.98708288482239,1835.3699999999997,929
20626,57.55395683453238,1488.6,278
20627,NA,520.24,NA
20628,194.69026548672565,2661.529999999999,452
20630,296.875,8129.480000000001,192
20632,235.6687898089172,1660.4599999999996,314
20634,372.0729780203994,41293.05999999995,6961
20636,162.1071270473661,39801.99999999989,11295
20637,253.78214826021178,50569.88999999994,5288
20639,266.8243953732913,78700.29000000027,15216
20640,101.86268334383155,23500.449999999957,11113
20645,159.26493108728943,2337.07,653
20646,254.61630429969446,92164.8600000004,22583
20650,475.30030563650575,111278.18000000074,14069
20653,87.66084558823529,45948.46000000004,26112
20656,NA,4,NA
20657,68.48967581553447,80439.92000000038,19711
20658,12.82051282051282,1121.18,858
20659,163.04819800260532,91069.19000000054,23030
20660,Inf,2000,0
20662,57.00814402057436,9742.390000000005,2333
20664,85.54033485540336,8245.47,3285
20667,34.562211981566826,1417.13,868
20670,11.728395061728396,705.89,1620
20674,193.1608133086876,9114.100000000006,1082
20675,78.82069795427196,4188.69,1662
20676,190.30570090884055,23146.85999999999,3631
20677,4744.920993227991,52261.30000000037,2215
20678,205.10549202770173,50940.49999999995,12418
20680,67.79661016949153,1978.8,649
20684,95.66326530612244,3987.879999999999,784
20685,155.22875816993465,30678.48999999994,6732
20686,3.050640634533252,389.33,1639
20687,16.317016317016318,244.3,429
20688,1154.241645244216,37209.47999999994,1945
20689,20.536462699077955,2773.0099999999993,2386
20690,773.6842105263157,14588.270000000004,950
20692,29.239766081871345,1091.63,684
20693,44.4064901793339,1714.5400000000006,1171
20695,50.71428571428571,14520.069999999992,8400
20701,19.736842105263158,1439.86,760
20703,NA,1705.4399999999998,NA
20705,28.397065048680684,22559.73999999999,28348
20706,24.42145205056366,29126.840000000055,45329
20707,48.09843400447427,34556.44999999992,32184
20708,29.394232918560466,54085.47,26842
20709,NA,876.03,NA
20710,7.592534008225245,2001.2699999999995,9483
20711,98.24324324324324,37307.29999999996,7400
20712,17.929319100424912,4516.9000000000005,9649
20714,71.65634965297318,12063.769999999988,5331
20715,152.92397660818713,142469.33000000103,27360
20716,75.59735409260676,27480.630000000012,22223
20717,NA,26.03,NA
20718,NA,24.98,NA
20720,47.040392920653744,34529.47999999995,23618
20721,17.76169449885462,14887.369999999986,30121
20722,41.57744468236974,3351.6400000000003,5604
20723,30.486114960368052,43215.24999999997,36082
20724,39.364289350149875,11786.809999999992,17681
20725,NA,55055.410000000214,NA
20726,NA,423.17,NA
